,totKgSupply,totKgDemand,x,y
0,0.0,0.0,135034.63572184974,493256.8300490249
1,0.0,0.0,131034.63572184974,493256.8300490249
2,89441324.02802396,99318764.21066,131034.63572184974,495256.8300490249
3,11272510.807102967,21084627.030043855,131034.63572184974,497256.8300490249
4,0.0,0.0,133034.63572184974,493256.8300490249
5,0.0,0.0,135034.63572184974,495256.8300490249
6,0.0,0.0,133034.63572184974,495256.8300490249
7,0.0,0.0,137034.63572184974,495256.8300490249
8,0.0,0.0,135034.63572184974,497256.8300490249
9,0.0,0.0,133034.63572184974,497256.8300490249
10,0.0,0.0,137034.63572184974,497256.8300490249
11,3177963.118139174,1863521.5202938346,129034.63572184974,495256.8300490249
12,0.0,0.0,129034.63572184974,497256.8300490249
13,0.0,0.0,131034.63572184974,499256.8300490249
14,0.0,129371066.95633282,129034.63572184974,499256.8300490249
15,16875628.62170791,693691887.3191766,129034.63572184974,501256.8300490249
16,19375019.925721806,815385042.5382448,131034.63572184974,501256.8300490249
17,0.0,0.0,127034.63572184974,491256.8300490249
18,17085302.81137219,16248643.78764735,129034.63572184974,493256.8300490249
19,0.0,0.0,127034.63572184974,493256.8300490249
20,0.0,0.0,127034.63572184974,495256.8300490249
21,0.0,63554022.14683754,125034.63572184974,491256.8300490249
22,2005780.766850095,3729065.1680680127,125034.63572184974,493256.8300490249
23,0.0,0.0,135034.63572184974,499256.8300490249
24,15094655.947505586,1251969882.0334916,131034.63572184974,503256.8300490249
25,0.0,8230367.969571757,133034.63572184974,499256.8300490249
26,201738.4663447302,57294877.92890155,135034.63572184974,501256.8300490249
27,232523158.3847669,299950575.57089823,133034.63572184974,501256.8300490249
28,122574491.10579686,307580676.41754615,133034.63572184974,503256.8300490249
29,118384715.94342194,237784730.5502191,125034.63572184974,503256.8300490249
30,3540217.7370887864,10254929.212187035,125034.63572184974,505256.8300490249
31,64278962.748165116,1046197649.7182683,129034.63572184974,503256.8300490249
32,4015986750.239701,817088175.2733982,127034.63572184974,503256.8300490249
33,0.0,96962642.192411,129034.63572184974,505256.8300490249
34,0.0,0.0,127034.63572184974,505256.8300490249
35,0.0,0.0,131034.63572184974,505256.8300490249
36,0.0,0.0,133034.63572184974,505256.8300490249
37,0.0,0.0,129034.63572184974,507256.8300490249
38,0.0,0.0,131034.63572184974,507256.8300490249
39,19377888.953175277,18786788.84890757,129034.63572184974,509256.8300490249
40,0.0,0.0,131034.63572184974,509256.8300490249
41,0.0,458368854.00048834,127034.63572184974,497256.8300490249
42,3932134.2428552117,5310671.734967008,125034.63572184974,495256.8300490249
43,119789.38306442542,6152336.018702287,125034.63572184974,497256.8300490249
44,36276580.46640359,178137239.79491657,125034.63572184974,499256.8300490249
45,518176088.1942245,598576586.5741085,125034.63572184974,501256.8300490249
46,74204553.71764563,331426180.88879514,127034.63572184974,499256.8300490249
47,239624002.15592077,338312310.46158844,127034.63572184974,501256.8300490249
48,10744513.468259461,397499688.6398394,123034.63572184974,489256.8300490249
49,0.0,93493153.01783586,125034.63572184974,489256.8300490249
50,22779064.331369277,224494644.01519608,123034.63572184974,491256.8300490249
51,0.0,20171235.45719776,127034.63572184974,487256.8300490249
52,0.0,0.0,127034.63572184974,489256.8300490249
53,422828898.8389065,847442340.2690734,125034.63572184974,487256.8300490249
54,0.0,0.0,125034.63572184974,507256.8300490249
55,0.0,0.0,127034.63572184974,507256.8300490249
56,0.0,0.0,119034.63572184974,505256.8300490249
57,0.0,0.0,123034.63572184974,505256.8300490249
58,0.0,0.0,121034.63572184974,505256.8300490249
59,98192311.65129203,153064716.2018042,119034.63572184974,507256.8300490249
60,0.0,0.0,121034.63572184974,507256.8300490249
61,0.0,0.0,123034.63572184974,507256.8300490249
62,0.0,0.0,125034.63572184974,509256.8300490249
63,0.0,0.0,127034.63572184974,509256.8300490249
64,56805670.68075565,104368066.09617223,123034.63572184974,501256.8300490249
65,4334049.821763553,4144865.9711773777,123034.63572184974,503256.8300490249
66,0.0,0.0,123034.63572184974,499256.8300490249
67,131361105.98926975,397235928.5472876,117034.63572184974,497256.8300490249
68,4429652.279160799,7434643.486270807,119034.63572184974,497256.8300490249
69,3159912.306190499,5840781.674036961,117034.63572184974,499256.8300490249
70,0.0,0.0,119034.63572184974,499256.8300490249
71,0.0,0.0,119034.63572184974,501256.8300490249
72,0.0,0.0,121034.63572184974,499256.8300490249
73,0.0,0.0,121034.63572184974,501256.8300490249
