,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
0,30568.690660314627,33478.11860098731,40032.83359345135,38544.41965317809,38690.082648649775,38093.37773023351,40565.87614501274,40623.170779143904,42802.27745228588,37795.975475454376,36987.819112697485,38795.46202765763,38396.86813827391,36092.00389540807,30166.135384639732,23957.752308850115,46061.61274265158,38412.1631578302,23253.194128515115,23174.197295803453,38517.33946944088,42583.945260966546,6685.424084918343,26684.598129305192,37892.50956525889,22829.869650812627,39668.92260694887,22375.74863193,23140.69194240285,42357.28571402139,36231.7477741408,37845.747418943756,39940.9161193406,11402.839975740624,36867.38798027397,42067.510478710676,22924.279627905897,28841.704582686318,8884.997208672268,30578.932384324336,37316.7496266031,29222.08909571009,28813.732233409763,19667.638603157244,36748.00675422566,36948.25253744996,38163.75265056283,19667.638603157244,22722.047762892613,23135.095583873277,19515.854460911763,16583.265065560485,27242.35217379972,38551.110609446376,16935.851454669486,45860.591317781946,31127.56912334837,31091.239037722164,31877.482379072753,25989.86787955516,35868.30003524536,29101.825146932453,25252.945739737585,19633.11203952716,30075.156885379656,20882.120261815064,37050.83880497151,26193.4198362496,39531.97837573095,12223.981994258516,39098.79905153018,44882.34018651553,38008.341635033095,39500.53582434528,24712.416958128113,16020.244814187608,38498.51281501417,12022.558426354597,45766.86888620446,50756.99353321931,32020.219659845992,31763.445675261057,46085.20881867277,30904.71554804214,37829.515834440535,42486.616564558775,22920.528315705636,30177.41354041573,40256.55898279075,38988.87550354746,23357.451637774906,12153.894408350718,46257.94683924024,25740.160345790442,29398.11520694572,47640.96003554075,36395.77513459312,36136.33524145555,37460.93607048643,22986.231534751816,35042.51181081938,35657.190835957794,36148.894335006895,20222.12654642363,43898.31661605147,23659.64031379285,41216.766479015874,25998.855384777216,23798.133344834987,33414.38403250437,31660.501982565376,17860.221454099017,17663.360919319857,22782.818224939034,22726.931019997413,20627.168307183856,18800.759197343825,18742.99465745145,24771.76885236535,42281.67997306951,44772.62162708949,23786.559656602793,23786.559656602793,44461.2719979109,41056.84400401272,40618.44163030364,38821.2826345856,39961.953086080706,50890.44091294115,51425.181754865815,50890.44091294115,49263.65541774597,50490.72134324361,50785.258286089964,46501.81298159602,48643.95896291228,51100.865315948344,45977.79340122254,37545.5470842154
1,27826.118833486744,30735.546774159433,37290.261766623466,35801.847826350204,35947.51082182189,35350.80590340562,37823.304318184855,37880.59895231602,40059.705625457995,35053.40364862649,34245.2472858696,36052.890200829745,35654.29631144602,33349.43206858018,27423.56355781185,21215.18048202223,43319.040915823694,35669.59133100231,20510.62230168723,20431.62546897557,35774.76764261299,39841.37343413866,3942.8522580904587,23942.02630247731,35149.93773843101,20087.297823984743,36926.350780120985,19633.176805102117,20398.120115574966,39614.7138871935,33489.17594731291,35103.17559211588,37198.34429251272,8660.268148912739,34124.81615344608,39324.93865188279,20181.707801078017,26099.132755858434,6142.425381844385,27836.360557496453,34574.177799775214,26479.517268882206,26071.16040658188,16925.06677632936,34005.43492739777,34205.68071062207,35421.18082373494,16925.06677632936,19979.47593606473,20392.523757045394,16773.282634083876,13840.693238732601,24499.78034697184,35808.53878261849,14193.2796278416,43118.01949095406,28384.997296520487,28348.66721089428,29134.91055224487,23247.296052727277,33125.72820841747,26359.25332010457,22510.3739129097,16890.540212699278,27332.585058551773,18139.54843498718,34308.26697814362,23450.848009421716,36789.40654890306,9481.410167430633,36356.22722470229,42139.768359687645,35265.76980820521,36757.96399751739,21969.84513130023,13277.672987359725,35755.94098818628,9279.986599526714,43024.29705937657,48014.421706391426,29277.64783301811,29020.873848433173,43342.63699184488,28162.143721214255,35086.94400761265,39744.04473773089,20177.956488877753,27434.841713587848,37513.98715596287,36246.30367671957,20614.879810947023,9411.322581522834,43515.375012412354,22997.58851896256,26655.543380117837,44898.388208712866,33653.20330776523,33393.76341462766,34718.36424365854,20243.659707923933,32299.93998399149,32914.61900912991,33406.322508179015,17479.554719595748,41155.74478922358,20917.068486964967,38474.19465218799,23256.283557949333,21055.561518007104,30671.812205676484,28917.930155737493,15117.649627271134,14920.789092491974,20040.24639811115,19984.35919316953,17884.596480355973,16058.187370515941,16000.422830623567,22029.197025537465,39539.108146241626,42030.0498002616,21043.98782977491,21043.98782977491,41718.700171083015,38314.27217718483,37875.869803475754,36078.710807757714,37219.38125925282,48147.86908611326,48682.60992803793,48147.86908611326,46521.08359091808,47748.149516415724,48042.68645926208,43759.24115476813,45901.38713608439,48358.29348912046,43235.22157439465,34802.975257387516
2,26986.969188207848,29896.397128880537,36451.112121344566,34962.69818107131,35108.361176542996,34511.65625812673,36984.15467290596,37041.449307037125,39220.5559801791,34214.254003347596,33406.097640590706,35213.74055555085,34815.14666616712,32510.28242330129,26584.41391253296,20376.030836743335,42479.89127054481,34830.44168572343,19671.472656408336,19592.475823696674,34935.61799733409,39002.22378885977,3103.7026128115635,23102.876657198412,34310.78809315211,19248.148178705847,36087.2011348421,18794.02715982322,19558.97047029607,38775.56424191461,32650.026302034024,34264.02594683698,36359.19464723382,7821.118503633845,33285.66650816719,38485.78900660389,19342.558155799117,25259.983110579546,5303.275736565489,26997.210912217564,33735.02815449632,25640.36762360331,25232.010761302983,16085.917131050463,33166.285282118886,33366.53106534317,34582.03117845605,16085.917131050463,19140.326290785833,19553.374111766498,15934.13298880498,13001.543593453705,23660.630701692942,34969.3891373396,13354.129982562705,42278.86984567516,27545.8476512416,27509.517565615384,28295.760906965974,22408.14640744839,32286.578563138573,25520.10367482568,21671.224267630805,16051.39056742038,26493.435413272877,17300.398789708284,33469.117332864735,22611.69836414282,35950.25690362416,8642.260522151737,35517.07757942339,41300.618714408745,34426.62016292631,35918.81435223851,21130.695486021334,12438.523342080829,34916.791342907396,8440.836954247818,42185.14741409767,47175.27206111254,28438.498187739213,28181.724203154285,42503.487346565984,27322.994075935367,34247.79436233374,38904.89509245199,19338.806843598857,26595.692068308952,36674.83751068397,35407.15403144068,19775.730165668127,8572.172936243938,42676.225367133455,22158.438873683663,25816.393734838948,44059.238563433966,32814.05366248634,32554.61376934877,33879.21459837966,19404.510062645037,31460.790338712603,32075.469363851018,32567.172862900123,16640.405074316852,40316.595143944694,20077.91884168607,37635.04500690909,22417.133912670437,20216.411872728208,29832.662560397588,28078.780510458604,14278.499981992238,14081.639447213078,19201.096752832254,19145.209547890634,17045.446835077077,15219.037725237045,15161.273185344671,21190.04738025857,38699.95850096273,41190.90015498271,20204.838184496013,20204.838184496013,40879.55052580412,37475.12253190594,37036.72015819686,35239.56116247882,36380.23161397393,47308.71944083437,47843.460282759035,47308.71944083437,45681.9339456392,46908.99987113683,47203.536813983184,42920.09150948923,45062.2374908055,47519.14384384157,42396.07192911577,33963.82561210862
3,26417.039030903135,29326.466971575825,35881.18196403985,34392.7680237666,34538.43101923828,33941.726100822016,36414.22451560125,36471.51914973241,38650.62582287439,33644.323846042884,32836.167483285986,34643.81039824614,34245.21650886241,31940.35226599658,26014.483755228248,19806.100679438623,41909.9611132401,34260.51152841872,19101.542499103623,19022.54566639196,34365.68784002938,38432.293631555054,622.6696855632952,22532.9464998937,33740.857935847394,18678.218021401135,35517.27097753739,18224.09700251851,18989.040312991357,38205.6340846099,32080.096144729312,33694.095789532264,35789.264489929104,5340.085576385575,32715.736350862473,37915.85884929918,18772.627998494405,24690.052953274833,4733.345579260775,26427.280754912852,33165.09799719161,25070.437466298597,24662.08060399827,15515.98697374575,32596.355124814174,32796.60090803846,34012.101021151335,15515.98697374575,18570.39613348112,18983.443954461785,15364.202831500268,12431.613436148993,23090.70054438823,34399.45898003489,12784.199825257992,41708.93968837045,26975.917493936886,26939.587408310672,27725.83074966126,21838.216250143676,31716.64840583386,24950.17351752097,21101.294110326093,15481.460410115667,25923.505255968164,16730.468632403572,32899.18717556002,22041.768206838107,35380.32674631945,8072.330364847024,34947.14742211868,40730.68855710403,33856.690005621596,35348.884194933795,20560.76532871662,11868.593184776117,34346.861185602684,5959.804026999549,41615.21725679296,46605.34190380783,27868.5680304345,27611.794045849572,41933.55718926127,26753.063918630654,33677.86420502903,38334.964935147276,18768.876686294145,26025.76191100424,36104.907353379254,34837.22387413597,19205.800008363414,6091.14000899567,42106.29520982874,21588.50871637895,25246.463577534236,43489.308406129254,32244.123505181626,31984.683612044057,33309.284441074946,18834.579905340324,30890.86018140789,31505.539206546306,31997.24270559541,16070.47491701214,39746.66498663998,19507.98868438136,37065.114849604375,21847.203755365725,19646.481715423495,29262.732403092876,27508.85035315389,13708.569824687525,13511.709289908365,18631.166595527542,18575.27939058592,16475.516677772364,14649.107567932333,14591.343028039959,20620.117222953857,38130.02834365802,40620.969997677996,17723.805257247743,17723.805257247743,40309.62036849941,36905.192374601225,36466.79000089215,34669.63100517411,35810.301456669215,46738.78928352966,47273.53012545432,46738.78928352966,45112.003788334485,46339.06971383212,46633.60665667847,42350.16135218452,44492.30733350079,46949.21368653686,41826.14177181106,33393.89545480391
4,29135.832475124047,32045.260415796736,38599.97540826077,37111.56146798751,37257.22446345919,36660.519545042924,39133.01795982216,39190.31259395332,41369.4192670953,36363.11729026379,35554.9609275069,37362.60384246705,36964.009953083325,34659.14571021748,28733.277199449152,22524.894123659535,44628.754557461,36979.30497263961,21820.335943324535,21741.339110612873,37084.481284250294,41151.08707577596,5252.565899727762,25251.73994411461,36459.65138006831,21397.011465622047,38236.06442175829,20942.89044673942,21707.83375721227,40924.427528830805,34798.88958895022,36412.88923375318,38508.05793415002,9969.981790550044,35434.529795083385,40634.65229352009,21491.42144271532,27408.846397495738,7452.139023481688,29146.074199133756,35883.89144141252,27789.23091051951,27380.874048219182,18234.780417966664,35315.148569035075,35515.394352259376,36730.89446537224,18234.780417966664,21289.189577702033,21702.237398682697,18082.996275721183,15150.406880369905,25809.49398860914,37118.25242425579,15502.993269478904,44427.73313259136,29694.71093815779,29658.380852531584,30444.624193882173,24557.00969436458,34435.441850054776,27668.966961741873,23820.087554547004,18200.253854336577,28642.298700189076,19449.262076624484,35617.98061978092,24760.56165105902,38099.120190540365,10791.123809067936,37665.940866339595,43449.48200132495,36575.48344984251,38067.677639154695,23279.558772937533,14587.386628997028,37065.654629823584,10589.700241164017,44334.010701013874,49324.135348028736,30587.361474655412,30330.587490070477,44652.35063348219,29471.85736285156,36396.65764924995,41053.75837936819,21487.670130515056,28744.55535522515,38823.70079760017,37556.01731835688,21924.593452584326,10721.036223160138,44825.08865404966,24307.302160599862,27965.25702175514,46208.10185035017,34962.916949402534,34703.477056264965,36028.07788529585,21553.373349561236,33609.653625628795,34224.33265076722,34716.03614981632,18789.268361233047,42465.45843086088,22226.78212860227,39783.90829382529,24565.997199586636,22365.275159644407,31981.525847313787,30227.643797374796,16427.363268908437,16230.502734129277,21349.960039748454,21294.072834806833,19194.310121993276,17367.901012153245,17310.13647226087,23338.91066717477,40848.82178787893,43339.763441898904,22353.701471412212,22353.701471412212,43028.41381272032,39623.98581882213,39185.58344511306,37388.42444939502,38529.09490089012,49457.58272775057,49992.32356967523,49457.58272775057,47830.797232555386,49057.86315805303,49352.40010089938,45068.954796405436,47211.100777721695,49668.00713075776,44544.935216031954,36112.68889902482
5,31756.445236408093,34665.873177080786,41220.588169544826,39732.174229271564,39877.83722474325,39281.13230632697,41753.6307211062,41810.92535523736,43990.03202837934,38983.730051547835,38175.573688790944,39983.2166037511,39584.622714367375,37279.75847150153,31353.8899607332,25145.50688494358,47249.36731874505,39599.91773392366,24440.94870460858,24361.95187189692,39705.09404553435,43771.69983705999,7873.178661011806,27872.35270539865,39080.26414135236,24017.62422690609,40856.67718304234,23563.503208023463,24328.446518496312,43545.040290114855,37419.50235023427,39033.50199503721,41128.67069543406,12590.594551834089,38055.142556367435,43255.26505480414,24112.034203999363,30029.459158779784,10072.751784765731,31766.686960417803,38504.50420269657,30409.843671803552,30001.48680950322,20855.393179250703,37935.76133031912,38136.007113543434,39351.50722665629,20855.393179250703,23909.802338986075,24322.85015996674,20703.609037005222,17771.019641653947,28430.106749893188,39738.86518553984,18123.60603076294,47048.3458938754,32315.323699441837,32278.99361381563,33065.23695516622,27177.622455648627,37056.05461133883,30289.57972302592,26440.70031583105,20820.866615620624,31262.911461473122,22069.87483790853,38238.59338106497,27381.174412343065,40719.73295182442,13411.736570351979,40286.55362762363,46070.094762608984,39196.09621112657,40688.290400438746,25900.17153422158,17207.99939028107,39686.267391107634,13210.313002448062,46954.62346229792,51944.748109312786,33207.97423593946,32951.20025135452,47272.96339476623,32092.470124135605,39017.27041053399,43674.371140652234,24108.2828917991,31365.168116509198,41444.313558884205,40176.63007964093,24545.206213868365,13341.648984444184,47445.7014153337,26927.91492188391,30585.869783039187,48828.714611634205,37583.52971068658,37324.089817549015,38648.6906465799,24173.98611084528,36230.266386912845,36844.94541205126,37336.64891110036,21409.881122517094,45086.07119214493,24847.394889886313,42404.52105510935,27186.609960870683,24985.88792092845,34602.138608597845,32848.256558658846,19047.976030192476,18851.115495413316,23970.5728010325,23914.68559609088,21814.92288327732,19988.513773437284,19930.74923354491,25959.52342845881,43469.43454916298,45960.37620318296,24974.31423269625,24974.31423269625,45649.026574004376,42244.59858010618,41806.1962063971,40009.03721067906,41149.707662174165,52078.1954890346,52612.936330959266,52078.1954890346,50451.409993839436,51678.47591933706,51973.01286218341,47689.567557689494,49831.71353900573,52288.61989204181,47165.54797731601,38733.30166030886
6,28726.994715969704,31636.422656642393,38191.13764910643,36702.72370883317,36848.38670430485,36251.681785888584,38724.18020066782,38781.47483479898,40960.58150794096,35954.27953110945,35146.12316835256,36953.76608331271,36555.172193928986,34250.30795106314,28324.43944029481,22116.05636450519,44219.91679830666,36570.46721348527,21411.498184170192,21332.50135145853,36675.643525095955,40742.24931662162,4843.728140573419,24842.90218496027,36050.81362091397,20988.173706467704,37827.22666260395,20534.052687585077,21298.995998057926,40515.589769676466,34390.05182979588,36004.05147459883,38099.22017499568,9561.144031395701,35025.692035929045,40225.81453436575,21082.583683560973,27000.008638341395,7043.301264327345,28737.236439979413,35475.05368225818,27380.393151365166,26972.03628906484,17825.94265881232,34906.310809880735,35106.55659310504,36322.0567062179,17825.94265881232,20880.35181854769,21293.399639528354,17674.15851656684,14741.569121215562,25400.6562294548,36709.41466510145,15094.155510324561,44018.89537343702,29285.873179003447,29249.54309337724,30035.78643472783,24148.171935210237,34026.60409090044,27260.12920258753,23411.24979539266,17791.416095182238,28233.460941034733,19040.42431747014,35209.14286062658,24351.723891904676,37690.282431386026,10382.286049913593,37257.103107185256,43040.64424217061,36166.64569068817,37658.839880000356,22870.72101378319,14178.548869842685,36656.816870669245,10180.862482009674,43925.172941859535,48915.2975888744,30178.52371550107,29921.749730916134,44243.51287432785,29063.019603697216,35987.81989009561,40644.92062021385,21078.832371360713,28335.71759607081,38414.86303844583,37147.17955920254,21515.755693429983,10312.198464005794,44416.25089489532,23898.46440144552,27556.419262600797,45799.26409119583,34554.079190248194,34294.639297110625,35619.24012614151,21144.535590406893,33200.815866474455,33815.49489161287,34307.19839066197,18380.430602078708,42056.62067170654,21817.944369447927,39375.07053467095,24157.159440432293,21956.437400490064,31572.688088159444,29818.806038220453,16018.525509754094,15821.664974974934,20941.12228059411,20885.23507565249,18785.472362838933,16959.0632529989,16901.298713106527,22930.072908020426,40439.98402872459,42930.925682744564,21944.86371225787,21944.86371225787,42619.57605356598,39215.148059667794,38776.74568595872,36979.58669024068,38120.25714173578,49048.74496859623,49583.48581052089,49048.74496859623,47421.959473401046,48649.02539889869,48943.56234174504,44660.1170372511,46802.263018567355,49259.16937160342,44136.097456877615,35703.85113987048
7,32617.023470763845,35526.45141143653,42081.16640390057,40592.75246362731,40738.41545909899,40141.71054068271,42614.208955461945,42671.50358959311,44850.610262735085,39844.30828590358,39036.15192314669,40843.79483810684,40445.20094872312,38140.33670585728,32214.46819508895,26006.085119299332,48109.94555310079,40460.49596827941,25301.526938964333,25222.53010625267,40565.672279890096,44632.278071415734,8733.756895367555,28732.930939754402,39940.842375708104,24878.20246126184,41717.25541739808,24424.081442379214,25189.024752852063,44405.6185244706,38280.08058459001,39894.08022939295,41989.24892978981,13451.172786189838,38915.72079072318,44115.843289159886,24972.612438355114,30890.037393135535,10933.33001912148,32627.265194773554,39365.08243705231,31270.421906159303,30862.065043858973,21715.971413606454,38796.33956467486,38996.58534789918,40212.08546101204,21715.971413606454,24770.380573341827,25183.42839432249,21564.187271360974,18631.5978760097,29290.68498424894,40599.443419895586,18984.184265118693,47908.92412823114,33175.90193379759,33139.57184817138,33925.81518952197,28038.200690004378,37916.63284569457,31150.15795738167,27301.278550186802,21681.444849976375,32123.489695828874,22930.45307226428,39099.17161542072,28241.752646698817,41580.311186180166,14272.314804707728,41147.131861979375,46930.67299696473,40056.67444548231,41548.86863479449,26760.74976857733,18068.57762463682,40546.84562546338,14070.89123680381,47815.20169665366,52805.32634366852,34068.55247029521,33811.778485710274,48133.54162912197,32953.04835849135,39877.84864488973,44534.94937500798,24968.86112615485,32225.74635086495,42304.89179323995,41037.20831399667,25405.784448224116,14202.227218799933,48306.279649689444,27788.49315623966,31446.448017394938,49689.29284598995,38444.10794504232,38184.66805190476,39509.26888093564,25034.56434520103,37090.84462126859,37705.523646407004,38197.227145456105,22270.459356872845,45946.64942650068,25707.973124242064,43265.09928946509,28047.188195226434,25846.4661552842,35462.71684295359,33708.8347930146,19908.554264548227,19711.693729769067,24831.15103538825,24775.26383044663,22675.50111763307,20849.092007793035,20791.32746790066,26820.101662814563,44330.01278351872,46820.954437538705,25834.892467052003,25834.892467052003,46509.60480836012,43105.17681446193,42666.774440752844,40869.615445034804,42010.28589652991,52938.773723390346,53473.51456531501,52938.773723390346,51311.98822819518,52539.05415369281,52833.59109653915,48550.14579204524,50692.291773361474,53149.198126397554,48026.126211671755,39593.879894664606
8,33306.40482200503,36215.832762677725,42770.547755141764,41282.1338148685,41427.79681034019,40831.091891923905,43303.59030670314,43360.8849408343,45539.99161397628,40533.68963714477,39725.53327438788,41533.176189348036,41134.58229996431,38829.71805709847,32903.849546330144,26695.466470540523,48799.326904341986,41149.8773195206,25990.908290205523,25911.91145749386,41255.0536311313,45321.65942265692,9423.13824660874,29422.312290995593,40630.2237269493,25567.583812503028,42406.63676863928,25113.462793620405,25878.40610409325,45094.999875711794,38969.461935831205,40583.46158063414,42678.630281031,14140.554137431021,39605.10214196437,44805.22464040108,25661.99378959631,31579.418744376726,11622.711370362666,33316.646546014745,40054.463788293506,31959.80325740049,31551.446395100163,22405.352764847645,39485.720915916056,39685.96669914038,40901.46681225323,22405.352764847645,25459.761924583017,25872.80974556368,22253.56862260216,19320.97922725089,29980.06633549013,41288.82477113678,19673.565616359883,48598.305479472336,33865.283285038786,33828.95319941257,34615.196540763165,28727.58204124557,38606.014196935765,31839.53930862286,27990.659901427993,22370.826201217562,32812.87104707006,23619.83442350547,39788.55296666191,28931.133997940004,42269.69253742137,14961.696155948914,41836.51321322057,47620.05434820592,40746.055796723515,42238.249986035684,27450.13111981852,18757.958975878006,41236.22697670458,14760.272588044994,48504.583047894856,53494.707694909725,34757.9338215364,34501.15983695146,48822.92298036317,33642.42970973255,40567.229996130925,45224.33072624917,25658.242477396037,32915.12770210614,42994.27314448114,41726.589665237865,26095.165799465307,14891.608570041117,48995.66100093064,28477.874507480847,32135.82936863613,50378.67419723114,39133.489296283515,38874.04940314595,40198.650232176835,25723.94569644222,37780.22597250979,38394.9049976482,38886.6084966973,22959.840708114032,46636.03077774187,26397.35447548325,43954.48064070629,28736.56954646762,26535.847506525388,36152.09819419479,34398.216144255784,20597.935615789418,20401.075081010258,25520.532386629442,25464.64518168782,23364.882468874257,21538.473359034226,21480.70881914185,27509.48301405575,45019.39413475992,47510.3357887799,26524.273818293186,26524.273818293186,47198.986159601314,43794.55816570312,43356.15579199404,41558.996796276,42699.6672477711,53628.15507463153,54162.8959165562,53628.15507463153,52001.369579436374,53228.435504933994,53522.97244778034,49239.52714328644,51381.67312460266,53838.57947763875,48715.50756291295,40283.2612459058
9,25783.004254348427,28692.432195021116,35247.14718748514,33758.73324721189,33904.39624268357,33307.6913242673,35780.18973904654,35837.4843731777,38016.59104631968,33010.28906948817,32202.132706731278,34009.77562169143,33611.1817323077,31306.31748944187,25380.44897867354,19172.065902883915,41275.926336685385,33626.47675186401,18467.507722548915,18388.510889837253,33731.65306347467,37798.25885500034,1899.737678952142,21898.91172333899,33106.82315929268,18044.183244846427,34883.236200982676,17590.0622259638,18355.00553643665,37571.599308055185,31446.061368174604,33060.06101297756,35155.22971337439,6617.153569774423,32081.701574307765,37281.824072744465,18138.5932219397,24056.018176720125,4099.310802706067,25793.245978358143,32531.0632206369,24436.40268974389,24028.045827443562,14881.952197191042,31962.320348259465,32162.566131483753,33378.06624459663,14881.952197191042,17936.361356926413,18349.409177907077,14730.16805494556,11797.578659594285,22456.66576783352,33765.42420348018,12150.165048703284,41074.904911815735,26341.882717382177,26305.552631755963,27091.795973106553,21204.181473588967,31082.613629279153,24316.13874096626,20467.259333771384,14847.425633560959,25289.470479413456,16096.433855848863,32265.152399005314,21407.7334302834,34746.29196976474,7438.295588292315,34313.11264556397,40096.65378054932,33222.655229066884,34714.84941837908,19926.730552161913,11234.558408221408,33712.82640904797,7236.872020388397,40981.18248023825,45971.30712725312,27234.533253879792,26977.759269294864,41299.52241270656,26119.029142075946,33043.82942847432,37700.930158592564,18134.841909739436,25391.72713444953,35470.87257682454,34203.18909758126,18571.765231808706,7368.2080023845165,41472.26043327403,20954.473939824242,24612.428800979527,42855.27362957454,31610.088728626917,31350.648835489348,32675.249664520234,18200.545128785616,30256.82540485318,30871.504429991597,31363.207929040702,15436.440140457431,39112.63021008527,18873.95390782665,36431.08007304966,21213.168978811016,19012.446938868787,28628.697626538167,26874.815576599183,13074.535048132817,12877.674513353657,17997.131818972834,17941.244614031213,15841.481901217654,14015.072791377625,13957.30825148525,19986.08244639915,37495.99356710331,39986.93522112328,19000.873250636592,19000.873250636592,39675.5855919447,36271.15759804651,35832.75522433744,34035.5962286194,35176.2666801145,46104.75450697495,46639.49534889961,46104.75450697495,44477.96901177977,45705.03493727741,45999.57188012376,41716.12657562981,43858.272556946074,46315.17890998215,41192.10699525635,32759.860678249202
